movie_id,title,genre,production_budget_crore,screen_count,opening_weekend_revenue_crore
MV0064,Movie_64,Drama,173,1605,45.32
MV0065,Movie_65,Drama,150,1370,35.38
MV0066,Movie_66,Action,89,655,25.97
MV0067,Movie_67,Thriller,115,2984,51.82
MV0068,Movie_68,Drama,129,1462,33.33
MV0069,Movie_69,Action,178,2099,51.23
MV0070,Movie_70,Thriller,22,2169,13.97
MV0071,Movie_71,Action,33,2888,32.33
MV0072,Movie_72,Drama,137,337,41.85
MV0073,Movie_73,Action,64,879,20.12
MV0074,Movie_74,Drama,171,1109,41.95
MV0075,Movie_75,Thriller,11,1970,29.52
MV0076,Movie_76,Family,158,2177,60.05
MV0077,Movie_77,Action,62,2781,59.11
MV0078,Movie_78,Family,118,2818,46.68
MV0079,Movie_79,Action,142,1524,39.61
MV0080,Movie_80,Comedy,154,723,45.19
MV0081,Movie_81,Action,89,1570,39.78
MV0082,Movie_82,Drama,96,554,23.96
MV0083,Movie_83,,157,2257,50.62
MV0084,Movie_84,Action,71,916,17.41
MV0085,Movie_85,Drama,91,1833,50.73
MV0086,Movie_86,Comedy,167,2851,53.43
MV0087,Movie_87,Comedy,177,1643,46.3
MV0088,Movie_88,Action,140,1402,37.84
MV0089,Movie_89,Drama,6,1558,1.0
MV0090,Movie_90,Family,40,2927,43.58
MV0091,Movie_91,Drama,36,2753,33.76
MV0092,Movie_92,Drama,131,2869,60.98
MV0093,Movie_93,Family,75,2976,40.97
MV0094,Movie_94,Thriller,15,980,12.1
MV0095,Movie_95,Drama,59,2922,32.01
MV0096,Movie_96,Family,170,1717,44.95
MV0097,Movie_97,Comedy,99,2513,43.2
MV0098,Movie_98,Drama,80,307,16.99
MV0099,Movie_99,Family,129,1171,39.58
MV0100,Movie_100,Drama,180,1337,62.21
MV0101,Movie_101,Family,141,1376,39.49
MV0102,Movie_102,Thriller,39,2649,26.4
MV0103,Movie_103,Action,178,130,28.22
MV0104,Movie_104,Drama,51,2123,23.54
MV0105,Movie_105,Family,123,,20.74
MV0106,Movie_106,Comedy,179,2540,39.68
MV0107,Movie_107,Thriller,11,1376,4.31
MV0108,Movie_108,Family,106,420,33.37
MV0109,Movie_109,Drama,12,2594,19.32
MV0110,Movie_110,Family,20,233,11.56
MV0111,Movie_111,Action,73,1517,32.87
MV0112,Movie_112,Family,159,371,27.49
MV0113,Movie_113,Drama,77,2166,29.36
MV0114,Movie_114,Family,153,2642,71.5
MV0115,Movie_115,Drama,158,606,37.77
MV0116,Movie_116,Thriller,9,2208,22.93
MV0117,Movie_117,Family,51,585,14.96
MV0118,Movie_118,Action,173,1327,29.87
MV0119,Movie_119,Action,150,264,33.94
MV0120,Movie_120,Thriller,84,1216,26.83
MV0047,Movie_47,Drama,149,2627,35.32
MV0074,Movie_74,Drama,171,1109,41.95
MV0038,Movie_38,Action,47,772,23.26
